"","black_PAIR","native_american_PAIR","asian_PAIR","pacific_islander_PAIR","ID","black_PAAD","native_american_PAAD","asian_PAAD","pacific_islander_PAAD","Year","State","black_CAP","asian_CAP","pacific_islander_CAP","native_american_CAP","black_per_pop","asian_per_pop","pacific_islander_per_pop","native_american","black_PAIMI","native_american_PAIMI","asian_PAIMI","pacific_islander_PAIMI"
"40",0.04403,0,0.01887,0,"Rhode Island, 2017",0.04979,0.00415,0.01245,0,2017,"Rhode Island",0.0204,0.0204,0,0,0.0591,0.0346,6e-04,0.0043,0.07075,0.00472,0.00943,0
"41",0.32258,0,0.01613,0,"South Carolina, 2017",0.30952,0,0,0,2017,"South Carolina",0.5965,0,0,0,0.2679,0.0166,6e-04,0.0037,0.46635,0,0,0.00481
"42",0.01667,0.11667,0.01667,0,"South Dakota, 2017",0.01835,0.20183,0.00917,0,2017,"South Dakota",0.0588,0,0,0.17647,0.0215,0.0158,5e-04,0.0834,0,0.18644,0,0.01695
"43",0.22628,0,0.0073,0,"Tennessee, 2017",0.24194,0,0.01613,0,2017,"Tennessee",0.3725,0,0,0,0.1677,0.0179,5e-04,0.0028,0.30682,0,0.01136,0
"44",0.16391,0.00301,0.01504,0.0015,"Texas, 2017",0.14286,0.00549,0.00137,0.00275,2017,"Texas",0.2429,0.0357,0,0.01071,0.1191,0.0486,8e-04,0.0032,0.32871,0.0099,0.0099,0
"45",0.02857,0,0.01429,0.01429,"Utah, 2017",0.01718,0.01031,0.01375,0.00687,2017,"Utah",0.0312,0.0208,0,0.01042,0.0112,0.0247,0.0095,0.0095,0.0354,0.00885,0,0
"46",0.04819,0,0,0,"Vermont, 2017",0.0121,0.00403,0.02016,0,2017,"Vermont",0.0541,0,0,0,0.0126,0.0187,3e-04,0.0033,0.05155,0.01031,0,0
"47",0.35556,0.01111,0,0,"Virginia, 2017",0.33588,0.01527,0.03053,0,2017,"Virginia",0.4697,0.0303,0,0,0.191,0.0663,7e-04,0.0026,0.31061,0.00758,0.02273,0
"48",0.11,0.028,0.022,0.008,"Washington, 2017",0.04511,0.05263,0.03008,0,2017,"Washington",0.2479,0.0331,0,0.04132,0.0386,0.088,0.0069,0.0128,0.18802,0.03993,0.01331,0.00333
"49",0.07692,0.02564,0,0,"West Virginia, 2017",0.07246,0.01449,0,0,2017,"West Virginia",0.0952,0,0,0,0.0348,0.0083,2e-04,0.0021,0.15909,0.04545,0,0
"50",0.24088,0.0146,0.0146,0,"Wisconsin, 2017",0.13665,0.01863,0.02484,0,2017,"Wisconsin",0.2188,0,0.0104,0.01042,0.0638,0.0291,4e-04,0.0089,0.26562,0.02344,0.00781,0
"51",0.11111,0.11111,0,0,"Wyoming, 2017",0,0.05172,0,0,2017,"Wyoming",0,0,0,0,0.0113,0.0096,7e-04,0.0211,0,0.15789,0,0
"52",0.3913,0.01449,0,0,"Alabama, 2016",0.35319,0,0.00426,0,2016,"Alabama",0.383,0,0.5532,0,0.2647,0.014,5e-04,0.0056,0.46341,0,0.00348,0
"53",0.06383,0.20213,0.01064,0.02128,"Alaska, 2016",0.07547,0.28302,0.01887,0,2016,"Alaska",0.2,0,0,0.2,0.0333,0.0614,0.0125,0.1446,0.09722,0.18056,0.01389,0.18056
"54",0.06085,0.00794,0.01323,0.00529,"Arizona, 2016",0.09204,0.0199,0.02239,0.00746,2016,"Arizona",0.1066,0.0082,0,0.0082,0.0423,0.033,0.0018,0.04,0.10256,0.02051,0.01026,0.02051
"55",0.21053,0,0.01316,0,"Arkansas, 2016",0.28571,0.0068,0,0,2016,"Arkansas",0.5455,0,0,0,0.1545,0.0156,0.0029,0.0074,0.328,0.008,0.008,0.008
"56",0.16398,0.01277,0.04973,0.00336,"California, 2016",0.0886,0.0041,0.0402,0.01313,2016,"California",0.2323,0.0487,0.0097,0.01113,0.0565,0.1426,0.0037,0.0042,0.18016,0.01305,0.04308,0.01305
"57",0.01515,0,0,0,"Colorado, 2016",0.05183,0.01524,0.0061,0.0061,2016,"Colorado",0.0455,0,0,0,0.04,0.0316,0.0013,0.0063,0.31579,0.01316,0.01316,0.01316
"58",0.12195,0,0,0,"Connecticut, 2016",0.10526,0,0,0,2016,"Connecticut",0.1389,0.0278,0,0,0.1003,0.0457,4e-04,0.0022,0.23932,0,0.02564,0
"59",0.30534,0.00763,0.00763,0,"Delaware, 2016",0.31609,0,0.01149,0.00575,2016,"Delaware",0.3571,0,0,0,0.2161,0.0389,4e-04,0.0031,0.37158,0,0.01093,0
"60",0.925,0,0,0,"District of Columbia, 2016",0.79121,0,0,0,2016,"District of Columbia",0.7941,0,0,0,0.4619,0.0405,5e-04,0.0021,0.81416,0.00885,0,0.00885
"61",0.14483,0.0092,0.0046,0,"Florida, 2016",0.1439,0.00732,0.00976,0.00244,2016,"Florida",0.2428,0.0058,0,0.00578,0.1557,0.0273,6e-04,0.0025,0.35714,0.01099,0.01099,0.01099
"62",0.54455,0,0.0099,0,"Georgia, 2016",0.46825,0,0.00397,0,2016,"Georgia",0.5,0.02,0,0.00667,0.3116,0.04,6e-04,0.0023,0.41129,0.01613,0.00806,0.01613
"63",0.02778,0,0.26389,0.11111,"Hawaii, 2016",0.01656,0,0.15563,0.04305,2016,"Hawaii",0.0175,0.2281,0.0526,0,0.0194,0.3649,0.0946,0.0021,0.03462,0.00385,0.15,0.00385
"64",0.00862,0.01724,0,0,"Idaho, 2016",0.02326,0.00775,0.00775,0,2016,"Idaho",0.0909,0,0,0.06061,0.0071,0.0142,0.0017,0.0112,0.00543,0.0163,0.01087,0.0163
"65",0.34633,0.0078,0.01872,0,"Illinois, 2016",0.25099,0.00528,0.0317,0,2016,"Illinois",0.25,0.0156,0.4062,0.03125,0.1413,0.0547,3e-04,0.0015,0.32288,0.0094,0.03448,0.0094
"66",0.19512,0,0,0,"Indiana, 2016",0.04202,0,0,0,2016,"Indiana",0.1905,0.0476,0,0,0.0936,0.0223,3e-04,0.0023,0.1875,0,0,0
"67",0.1129,0,0,0,"Iowa, 2016",0.04918,0.03279,0.01639,0.01639,2016,"Iowa",0.0345,0,0,0.03448,0.0355,0.0246,9e-04,0.003,0.14062,0.01562,0,0.01562
"68",0.125,0.00278,0.01667,0,"Kansas, 2016",0.0528,0.00621,0.01553,0.00311,2016,"Kansas",0.1642,0,0,0.01493,0.058,0.0299,8e-04,0.0079,0.11587,0.00756,0,0.00756
"69",0.15873,0,0,0,"Kentucky, 2016",0.09688,0.00312,0.00312,0,2016,"Kentucky",0.2222,0,0,0,0.0806,0.0149,6e-04,0.0021,0.28743,0,0,0
"70",0.45038,0.0229,0.00763,0,"Louisiana, 2016",0.40496,0,0.00413,0,2016,"Louisiana",0.4348,0.0109,0,0.02174,0.3213,0.0172,4e-04,0.0064,0.49206,0.00794,0,0.00794
"71",0.03311,0,0.01325,0,"Maine, 2016",0.01017,0.00762,0.00127,0,2016,"Maine",0.0202,0,0,0,0.0148,0.0119,3e-04,0.0065,0.02198,0.03297,0.00549,0.03297
"72",0.67532,0,0.02597,0,"Maryland, 2016",0.30198,0,0.01485,0,2016,"Maryland",0.4464,0.0268,0,0,0.2964,0.0637,5e-04,0.0024,0.63636,0,0,0
"73",0.08257,0.01835,0.00917,0,"Massachusetts, 2016",0.13542,0.00521,0.02604,0.00521,2016,"Massachusetts",0.1702,0.0319,0,0.01064,0.0706,0.0661,4e-04,0.0018,0.1413,0,0.02174,0
"74",0.33333,0,0.02222,0,"Michigan, 2016",0.34,0.02,0.01,0,2016,"Michigan",0.3913,0,0,0.0087,0.1384,0.0312,3e-04,0.0057,0.24444,0.02222,0.04444,0.02222
"75",0.22047,0.02362,0.03543,0,"Minnesota, 2016",0.1521,0.03236,0.00324,0.00971,2016,"Minnesota",0.1154,0,0,0,0.0617,0.0487,5e-04,0.0107,0.21675,0.05419,0.00985,0.05419
"76",0.42373,0,0,0,"Mississippi, 2016",0.5,0,0,0,2016,"Mississippi",0.6207,0,0,0,0.3737,0.0102,3e-04,0.0049,0.5534,0,0,0
"77",0.25714,0,0.00952,0,"Missouri, 2016",0.22034,0.01695,0.00565,0,2016,"Missouri",0.2778,0.0185,0,0.01852,0.1162,0.0196,0.0012,0.0043,0.27632,0.01316,0,0.01316
"78",0.01408,0.10563,0,0.00704,"Montana, 2016",0,0.02564,0.01282,0,2016,"Montana",0.0441,0.0147,0,0.08824,0.0051,0.0084,7e-04,0.0613,0.00712,0.11744,0,0.11744
"79",0.05882,0,0,0,"Nebraska, 2016",0,0,0,0,2016,"Nebraska",0.1852,0,0,0,0.0475,0.0243,6e-04,0.0083,0.13514,0.02703,0.02703,0.02703
"80",0.075,0.025,0.025,0,"Nevada, 2016",0.16667,0,0,0,2016,"Nevada",0.1875,0.0312,0,0.03125,0.0872,0.0799,0.0061,0.0086,0.41463,0.04878,0,0.04878
"81",0.00746,0.01866,0.01493,0,"New Hampshire, 2016",0.00824,0,0.02473,0,2016,"New Hampshire",0.05,0,0,0,0.0132,0.0287,3e-04,0.0021,0.01626,0.01626,0.00271,0.01626
"82",0.20522,0,0.01391,0,"New Jersey, 2016",0.12638,0.00123,0.02454,0.00123,2016,"New Jersey",0.198,0.0396,0,0,0.1292,0.094,3e-04,0.0014,0.22591,0,0.00997,0
"83",0.02564,0.05128,0.02564,0,"New Mexico, 2016",0.01508,0.17588,0,0.00503,2016,"New Mexico",0.1,0,0,0.13333,0.0181,0.015,6e-04,0.0878,0.03175,0.06349,0.01587,0.06349
"84",0.21307,0,0.01278,0.00142,"New York, 2016",0.2,0,0.0122,0,2016,"New York",0.2853,0.0386,0,0.00514,0.1452,0.0849,4e-04,0.0029,0.29897,0,0.00773,0
"85",0.568,0.048,0.012,0.004,"North Carolina, 2016",0.2515,0.00599,0.01198,0,2016,"North Carolina",0.3297,0,0,0,0.214,0.0284,6e-04,0.0113,0.42857,0.01587,0.00529,0.01587
"86",0,0.13115,0,0,"North Dakota, 2016",0.01899,0.0981,0.00791,0,2016,"North Dakota",0.0278,0,0,0.19444,0.0283,0.0147,5e-04,0.0512,0.02727,0.20909,0.01364,0.20909
"87",0.12571,0,0.00143,0.00143,"Ohio, 2016",0.12853,0,0.0094,0,2016,"Ohio",0.1948,0.0065,0,0,0.1249,0.0223,4e-04,0.0019,0.30526,0.00301,0.00301,0.00301
"88",0.17341,0.12717,0,0,"Oklahoma, 2016",0.0973,0.07027,0,0,2016,"Oklahoma",0.3676,0.0147,0,0.07353,0.0741,0.0221,0.0015,0.0832,0.14667,0.05333,0,0.05333
